"txNomeParlamentar";"cpf";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"datPagamentoRestituicao";"vlrRestituicao";"nuDeputadoId";"ideDocumento";"urlDocumento"
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"AGENCIA ESTADO LTDA";"626.529.610/0013-8";"00423169";"0";"2011-12-26T00:00:00";"8275.08";"0";"8275.08";"12";"2011";"0";"";"";"588705";"";"";"";"2442";"2246504";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"AGENCIA ESTADO LTDA.";"626.529.610/0013-8";"00423168";"0";"2011-12-26T00:00:00";"9432";"0";"9432";"12";"2011";"0";"";"";"588705";"";"";"";"2442";"2246505";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"CRC TECNOLOGIA DA INFOMAÇÃO LTDA";"102.427.210/0016-1";"612";"0";"2011-09-27T00:00:00";"5112";"0";"5112";"9";"2011";"0";"";"";"568174";"";"";"";"2442";"2181555";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"MICRO TRAINING SERVIÇOS DE INFORMATICA LTDA";"380.105.910/0015-0";"104";"0";"2011-10-27T00:00:00";"77.8";"0";"77.8";"10";"2011";"0";"";"";"574051";"";"";"";"2442";"2193013";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"AUTO POSTO LS COM. DE DERIVADOS DE PETROLEO LTDA";"052.567.940/0017-2";"296462";"0";"2011-08-15T00:00:00";"106.11";"0";"106.11";"8";"2011";"0";"";"";"561555";"";"";"";"2442";"2150852";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"CASCOL COMBUSTIVEIS PARA VEICULOS LTDA";"003.065.970/0109-8";"70823";"0";"2011-08-29T00:00:00";"80";"0";"80";"8";"2011";"0";"";"";"561555";"";"";"";"2442";"2150860";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"CASCOL COMBUSTIVEIS PARA VEICULOS LTDA";"003.065.970/0117-9";"63756";"0";"2011-10-04T00:00:00";"20";"0";"20";"10";"2011";"0";"";"";"568173";"";"";"";"2442";"2173487";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POLAR DERIVADOS DE PETROLEO LTDA";"000.420.440/0018-4";"378681";"0";"2011-09-02T00:00:00";"50";"0";"50";"9";"2011";"0";"";"";"570965";"";"";"";"2442";"2182360";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POLAR- DERIVADOS DE PETROLEO LTDA";"000.420.440/0018-4";"140822";"0";"2011-10-18T00:00:00";"50";"0";"50";"10";"2011";"0";"";"";"572185";"";"";"";"2442";"2186602";""
"LIDERANÇA DO PSDB";"";"";"";"2011";"NA";"";"54";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO MONUMENTAL";"054.543.900/0019-3";"152679";"0";"2011-08-12T00:00:00";"113.59";"0";"113.59";"8";"2011";"0";"";"";"561555";"";"";"";"2442";"2150855";""
